window_size,video_id,video_name,identity,accuracy,precision_not_behavior,precision_behavior,recall_not_behavior,recall_behavior,f1_not_behavior,f1_behavior
10,0,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,0,0.978528,1.0,0.740741,0.977124,1.0,0.98843,0.851064
10,1,org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4,1,0.760234,0.676768,0.875,0.881579,0.663158,0.765714,0.754491
10,2,org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4,2,0.98913,0.983333,1.0,1.0,0.969697,0.991597,0.984615
10,3,org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4,0,0.873684,0.955882,0.666667,0.878378,0.857143,0.915493,0.75
10,4,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,1,0.98125,0.978873,1.0,1.0,0.857143,0.989324,0.923077
10,5,org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4,0,0.911364,0.955414,0.886926,0.824176,0.972868,0.884956,0.927911
10,6,org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4,2,0.901961,0.911111,0.898148,0.788462,0.960396,0.845361,0.92823
10,7,org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4,1,0.935733,0.937685,0.923077,0.9875,0.695652,0.961948,0.793388
10,8,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,0,0.621622,0.833333,0.580645,0.277778,0.947368,0.416667,0.72
10,9,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4,0,0.935561,0.976253,0.55,0.953608,0.709677,0.964798,0.619718
10,10,org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4,1,0.828767,0.930435,0.451613,0.862903,0.636364,0.895397,0.528302
10,11,org-3-uploads-stage.study_439.cage_4751.2025-08-03.10.37.mp4,2,0.832143,0.904167,0.4,0.900415,0.410256,0.902287,0.405063
10,12,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,0,0.90411,0.959854,0.736264,0.916376,0.858974,0.937611,0.792899
10,13,org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4,1,0.954545,0.941606,1.0,1.0,0.829787,0.969925,0.906977
